  Index  name               key               s        l        spin.x          spin.y          spin.z
     71  ESRE340            Marker               0.340   0.000    0.0004697303    0.0298320194    0.9995548159
     72  ECSRE345           Sad_Mult             0.350   0.010    0.0004965959    0.0306530115    0.9995299627
     73  ESRE350            Marker               0.350   0.000    0.0004965959    0.0306530115    0.9995299627
     74  ECSRE355           Sad_Mult             0.360   0.010    0.0005241054    0.0314659029    0.9995046885
     75  ESRE360            Marker               0.360   0.000    0.0005241054    0.0314659029    0.9995046885
     76  ECSRE365           Sad_Mult             0.370   0.010    0.0005522390    0.0322697215    0.9994790444
     77  ESRE370            Marker               0.370   0.000    0.0005522390    0.0322697215    0.9994790444
     78  ECSRE375           Sad_Mult             0.380   0.010    0.0005809740    0.0330633717    0.9994530884
     79  ESRE380            Marker               0.380   0.000    0.0005809740    0.0330633717    0.9994530884
     80  ECSRE385           Sad_Mult             0.390   0.010    0.0006102855    0.0338456023    0.9994268871
     81  ESRE390            Marker               0.390   0.000    0.0006102855    0.0338456023    0.9994268871
     82  ECSRE395           Sad_Mult             0.400   0.010    0.0006401451    0.0346149446    0.9994005182
     83  ESRE400            Marker               0.400   0.000    0.0006401451    0.0346149446    0.9994005182
     84  ECSRE405           Sad_Mult             0.410   0.010    0.0006705206    0.0353696684    0.9993740726
     85  ESRE410            Marker               0.410   0.000    0.0006705206    0.0353696684    0.9993740726
     86  ECSRE415           Sad_Mult             0.420   0.010    0.0007013757    0.0361077727    0.9993476556
     87  ESRE420            Marker               0.420   0.000    0.0007013757    0.0361077727    0.9993476556
     88  ECSRE425           Sad_Mult             0.430   0.010    0.0007326684    0.0368269584    0.9993213889
     89  ESRE430            Marker               0.430   0.000    0.0007326684    0.0368269584    0.9993213889
     90  QC1RPE435          Sad_Mult             0.440   0.010    0.0007646913    0.0375245237    0.9992954145
     91  ESRE440            Marker               0.440   0.000    0.0007646913    0.0375245237    0.9992954145
     92  QC1RPE445          Sad_Mult             0.450   0.010    0.0007969771    0.0381972266    0.9992699018
     93  ESRE450            Marker               0.450   0.000    0.0007969771    0.0381972266    0.9992699018
     94  QC1RPE455          Sad_Mult             0.460   0.010    0.0008294956    0.0388412020    0.9992450515
     95  ESRE460            Marker               0.460   0.000    0.0008294956    0.0388412020    0.9992450515
     96  QC1RPE465          Sad_Mult             0.470   0.010    0.0008622047    0.0394519058    0.9992210985
     97  ESRE470            Marker               0.470   0.000    0.0008622047    0.0394519058    0.9992210985
     98  QC1RPE475          Sad_Mult             0.480   0.010    0.0008950372    0.0400239919    0.9991983181
     99  ESRE480            Marker               0.480   0.000    0.0008950372    0.0400239919    0.9991983181
    100  QC1RPE485          Sad_Mult             0.490   0.010    0.0009279146    0.0405510586    0.9991770367
    101  ESRE490            Marker               0.490   0.000    0.0009279146    0.0405510586    0.9991770367
    102  QC1RPE495          Sad_Mult             0.500   0.010    0.0009607462    0.0410253218    0.9991576452
    103  ESRE500            Marker               0.500   0.000    0.0009607462    0.0410253218    0.9991576452
    104  QC1RPE505          Sad_Mult             0.510   0.010    0.0009934274    0.0414373131    0.9991406118
    105  ESRE510            Marker               0.510   0.000    0.0009934274    0.0414373131    0.9991406118
    106  QC1RPE515          Sad_Mult             0.520   0.010    0.0010258369    0.0417755541    0.9991264939
    107  ESRE520            Marker               0.520   0.000    0.0010258369    0.0417755541    0.9991264939
    108  QC1RPE525          Sad_Mult             0.530   0.010    0.0010578364    0.0420261189    0.9991159524
    109  ESRE530            Marker               0.530   0.000    0.0010578364    0.0420261189    0.9991159524
    110  MQC1RE             Monitor              0.530   0.000    0.0010578364    0.0420261189    0.9991159524
    111  QC1RPE535          Sad_Mult             0.540   0.010    0.0010892688    0.0421719777    0.9991097726
    112  ESRE540            Marker               0.540   0.000    0.0010892688    0.0421719777    0.9991097726
    113  QC1RPE545          Sad_Mult             0.550   0.010    0.0011199535    0.0421920088    0.9991088930
    114  ESRE550            Marker               0.550   0.000    0.0011199535    0.0421920088    0.9991088930
    115  QC1RPE555          Sad_Mult             0.560   0.010    0.0011496844    0.0420597619    0.9991144352
    116  ESRE560            Marker               0.560   0.000    0.0011496844    0.0420597619    0.9991144352
    117  QC1RPE565          Sad_Mult             0.570   0.010    0.0011782305    0.0417420844    0.9991277246
    118  ESRE570            Marker               0.570   0.000    0.0011782305    0.0417420844    0.9991277246
