  Index  name           key                      s       l              spin.x              spin.y              spin.z
   4409  B2E            Sbend             2379.337   5.902  0.9366965362735451 -0.0009246301328627 -0.3501410344307531
   4449  B2E            Sbend             2404.603   5.902  0.3208830350851186 -0.0009246621327729 -0.9471183784482700
   4455  B2E            Sbend             2412.851   5.902 -0.5309880566330876 -0.0009246469599235 -0.8473787988503101
   4485  B2E            Sbend             2437.764   5.902 -0.9922459973768313 -0.0009245882284272 -0.1242860644893182
   4505  B2E            Sbend             2455.361   5.902 -0.7235880502645621 -0.0009245903017055  0.6902314674419605
   4541  B2E            Sbend             2480.274   5.902  0.0773571212268482 -0.0009245435419570  0.9970030195614814
   4547  B2E            Sbend             2488.522   5.902  0.8214004762314940 -0.0009245263331862  0.5703511224655493
   4581  B2E            Sbend             2513.434   5.902  0.9611964027226875 -0.0009245766463941 -0.2758634092281333
   4601  B2E            Sbend             2531.032   5.902  0.3939181385832059 -0.0009245863735498 -0.9191450621284754
   4637  B2E            Sbend             2555.944   5.902 -0.4631363078816506 -0.0009245889235216 -0.8862865820134334
   4643  B2E            Sbend             2564.192   5.902 -0.9794985455074928 -0.0009246249192338 -0.2014491112351799
   4677  B2E            Sbend             2589.105   5.902 -0.7753136392280086 -0.0009246139173626  0.6315757325262781
   4697  B2E            Sbend             2606.702   5.902 -0.0007943632744992 -0.0009245818765141  0.9999992570673849
   4731  B2E            Sbend             2630.913   5.902  0.7743130841092275 -0.0009246049843805  0.6328020171292598
   4763  B2E            Sbend             2655.462   5.902  0.9798156846978014 -0.0009246164648169 -0.1999008982084672
   4795  B2E            Sbend             2679.673   5.902  0.4645404217974877 -0.0009246193132125 -0.8855514336250147
   4815  B2E            Sbend             2697.270   5.902 -0.3924573708912149 -0.0009246578940959 -0.9197697304439384
   4847  B2E            Sbend             2722.183   5.902 -0.9607579919275002 -0.0009245791701071 -0.2773864201809031
   4853  B2E            Sbend             2730.430   5.902 -0.8222995936914115 -0.0009245881166010  0.5690540601311399
   4885  B2E            Sbend             2755.343   5.902 -0.0789372282257659 -0.0009245595154610  0.9968791597729975
   4907  B2E            Sbend             2772.940   5.902  0.7224906808844088 -0.0009245456057358  0.6913800411138494
   4939  B2E            Sbend             2797.853   5.902  0.9924417058950920 -0.0009246018020212 -0.1227135098981762
   4945  B2E            Sbend             2806.101   5.902  0.5323246178603060 -0.0009245994201121 -0.8465398078860638
   4978  B2E            Sbend             2831.014   5.902 -0.3193816780544853 -0.0009246759934381 -0.9476257112897426
   5000  B2E            Sbend             2848.611   5.902 -0.9361422444997055 -0.0009246531333844 -0.3516203109600177
   5032  BLA4LE         Sbend             2872.436   5.902 -0.7673781619649375 -0.0009246415956462  0.6411941216021998
   5038  BLA4LE         Sbend             2880.684   5.902  0.1796185039816897 -0.0009246826912391  0.9837359086611014
   5059  BLA2LE         Sbend             2905.411   5.902  0.4871768605888585 -0.0009244985075729  0.8733028408343101
