 Index   name               key               s         l       spin.x          spin.y          spin.z
     69  ESLE320            Marker               0.320   0.000    0.0004015797   -0.0278346055    0.9996124616
     70  ECSLE325           Sad_Mult             0.330   0.010    0.0004265249   -0.0286500945    0.9995894108
     71  ESLE330            Marker               0.330   0.000    0.0004265249   -0.0286500945    0.9995894108
     72  ECSLE335           Sad_Mult             0.340   0.010    0.0004521049   -0.0294576126    0.9995659281
     73  ESLE340            Marker               0.340   0.000    0.0004521049   -0.0294576126    0.9995659281
     74  ECSLE345           Sad_Mult             0.350   0.010    0.0004783004   -0.0302562705    0.9995420598
     75  ESLE350            Marker               0.350   0.000    0.0004783004   -0.0302562705    0.9995420598
     76  ECSLE355           Sad_Mult             0.360   0.010    0.0005050900   -0.0310450413    0.9995178589
     77  ESLE360            Marker               0.360   0.000    0.0005050900   -0.0310450413    0.9995178589
     78  ECSLE365           Sad_Mult             0.370   0.010    0.0005324498   -0.0318227095    0.9994933875
     79  ESLE370            Marker               0.370   0.000    0.0005324498   -0.0318227095    0.9994933875
     80  ECSLE375           Sad_Mult             0.380   0.010    0.0005603529   -0.0325878664    0.9994687174
     81  ESLE380            Marker               0.380   0.000    0.0005603529   -0.0325878664    0.9994687174
     82  ECSLE385           Sad_Mult             0.390   0.010    0.0005887689   -0.0333389338    0.9994439298
     83  ESLE390            Marker               0.390   0.000    0.0005887689   -0.0333389338    0.9994439298
     84  ECSLE395           Sad_Mult             0.400   0.010    0.0006176638   -0.0340741623    0.9994191163
     85  ESLE400            Marker               0.400   0.000    0.0006176638   -0.0340741623    0.9994191163
     86  ECSLE405           Sad_Mult             0.410   0.010    0.0006469989   -0.0347915863    0.9993943801
     87  ESLE410            Marker               0.410   0.000    0.0006469989   -0.0347915863    0.9993943801
     88  ECSLE415           Sad_Mult             0.420   0.010    0.0006767309   -0.0354889043    0.9993698413
     89  ESLE420            Marker               0.420   0.000    0.0006767309   -0.0354889043    0.9993698413
     90  ECSLE425           Sad_Mult             0.430   0.010    0.0007068102   -0.0361633388    0.9993456426
     91  ESLE430            Marker               0.430   0.000    0.0007068102   -0.0361633388    0.9993456426
     92  QC1LPE435          Sad_Mult             0.440   0.010    0.0007375207   -0.0368115504    0.9993219530
     93  ESLE440            Marker               0.440   0.000    0.0007375207   -0.0368115504    0.9993219530
     94  QC1LPE445          Sad_Mult             0.450   0.010    0.0007683843   -0.0374295498    0.9992989735
     95  ESLE450            Marker               0.450   0.000    0.0007683843   -0.0374295498    0.9992989735
     96  QC1LPE455          Sad_Mult             0.460   0.010    0.0007993596   -0.0380125795    0.9992769410
     97  ESLE460            Marker               0.460   0.000    0.0007993596   -0.0380125795    0.9992769410
     98  QC1LPE465          Sad_Mult             0.470   0.010    0.0008303925   -0.0385549974    0.9992561346
